Name,Rating,Pricing,Number of Reviews
GRAY'S On Main,3.7,2,683
Red Pony,4.4,3,551
Cork & Cow,4.3,3,323
55 South - Franklin,4.2,2,760
O' Be Joyful,4.1,2,119
Puckett's Grocery & Restaurant,4.2,2,1119
Culaccino,4.2,3,272
JJ's Wine Bar,4.0,2,154
McCreary's Irish Pub and Eatery,3.9,2,200
Serrato's Steakhouse,4.6,2,190
Frothy Monkey,4.0,2,552
Franklin Chop House,3.9,2,182
Pueblo Real Mexican Restaurant - Franklin,4.3,2,367
Mojo's Tacos,4.1,2,383
Mellow Mushroom Franklin,3.5,2,359
Quinn's Neighbourhood Pub and Eatery,4.0,2,271
Chrysalis,4.5,2,368
1799 Kitchen & Cocktails,3.7,N/A,80
BrickTop's,4.0,2,328
Biscuit Love - Franklin,4.0,2,574
Ruby Sunshine,4.0,2,534
The White Alligator,4.5,N/A,40
Merridee's Breadbasket,4.1,2,432
Ground Restaurant,4.3,2,157
Hop House Tennessee Taps,4.5,N/A,63
Brixx Wood Fired Pizza + Craft Bar,4.0,2,271
Tupelo Honey Southern Kitchen & Bar,4.0,2,1247
Sal's Family Pizza,3.8,2,212
Pasta and Cream,4.6,2,378
North Italia- Franklin,4.1,2,241
Koi Sushi & Thai,4.0,2,219
Zolo's Italian Restaurant,3.3,2,155
Sperry's Restaurant,4.1,3,406
J. Alexander's,4.0,2,401
Stoney River,4.0,3,346
Franklin Mercantile Deli,3.7,1,147
Garcia's,3.9,2,198
Hattie B's Hot Chicken - Franklin,4.4,2,30
The Coffee House at Second and Bridge,4.2,2,207
Hogwood BBQ,4.3,2,455
The Bunganut Pig Bar & Restaurant,3.3,2,181
Pita Way - Cool Springs,4.8,2,119
Connors Steak & Seafood,3.9,3,377
Big Shake's Hot Chicken & Fish,4.0,2,502
Sakura Japanese Restaurant,3.9,2,87
Ice Point Cafe,4.6,2,137
Bestia Mare,3.9,N/A,33
Taziki's Mediterranean Cafe - Franklin,4.1,2,104
Sopapilla's,3.9,2,798
Ground Restaurant - Cool Springs,4.4,2,487
