Name,Category,Pricing
The Stillery,New American,N/A
Puckett's Restaurant - Nashville,American,N/A
Sixty Vines,New American,N/A
The Twelve Thirty Club,Cocktail Bars,N/A
5th & Taylor,New American,N/A
etch,New American,N/A
Hattie B’s Hot Chicken - Nashville - Midtown,Chicken Wings,N/A
The Hampton Social - Nashville,New American,N/A
Peg Leg Porker,Barbeque,N/A
Bourbon Steak by Michael Mina,Steakhouses,N/A
Rolf and Daughters,New American,N/A
Skull's Rainbow Room,Cocktail Bars,N/A
Husk,Southern,N/A
The Optimist - Nashville,Seafood,N/A
Acme Feed & Seed,Bars,N/A
Jeff Ruby's Steakhouse- Nashville,Seafood,N/A
Hawkers Asian Street Food,Tapas/Small Plates,N/A
Milk and Honey Nashville,New American,N/A
Pinewood Social,Social Clubs,N/A
Blanco Cocina + Cantina,Cocktail Bars,N/A
Martin's Bar-B-Que Joint,Barbeque,N/A
Henrietta Red,New American,N/A
Adele's - Nashville,New American,N/A
The Southern Steak & Oyster,Southern,N/A
The Mockingbird Nashville,New American,N/A
Oak Steakhouse,Steakhouses,N/A
Bakersfield Nashville,Tacos,N/A
Barcelona Wine Bar,Tapas Bars,N/A
The Farm House,Southern,N/A
The Row,Southern,N/A
The Catbird Seat,New American,N/A
Hattie B’s Hot Chicken - Nashville - Lower Broadway,Chicken Shop,N/A
Deacon's New South,Steakhouses,N/A
The Chef and I,Tapas Bars,N/A
Kayne Prime,Steakhouses,N/A
Germantown Cafe,New American,N/A
Butchertown Hall,Gastropubs,N/A
Eddie V's Prime Seafood,Seafood,N/A
Sedona Taphouse,New American,N/A
O-Ku,Sushi Bars,N/A
Ellington's Restaurant,Cocktail Bars,N/A
Sambuca,Bars,N/A
Trattoria Il Mulino,Italian,N/A
Stock & Barrel,Burgers,N/A
Stateside Kitchen,New American,N/A
Butcher & Bee,New American,N/A
Superica,Tex-Mex,N/A
Bastion,Cocktail Bars,N/A
DeSano Pizza Bakery,Pizza,N/A
Black Rabbit,Tapas/Small Plates,N/A
