Name,Rating,Pricing,Number of Reviews
The Stillery,4.4,2,3424
Puckett's Restaurant - Nashville,3.9,2,3288
Sixty Vines,4.5,2,944
etch,4.5,3,1699
The Twelve Thirty Club,4.3,N/A,788
Hattie B’s Hot Chicken - Nashville - Midtown,4.4,2,7283
5th & Taylor,4.4,3,1388
Bourbon Steak by Michael Mina,4.5,4,766
Skull's Rainbow Room,4.5,3,1331
The Hampton Social - Nashville,4.3,2,1472
Milk and Honey Nashville,4.2,2,2718
Husk,4.0,3,1816
Peg Leg Porker,4.3,2,3490
Rolf and Daughters,4.3,3,1017
The Southern Steak & Oyster,4.1,3,2544
Pinewood Social,4.1,2,2214
The Optimist - Nashville,4.5,3,389
Martin's Bar-B-Que Joint,4.1,2,3014
Jeff Ruby's Steakhouse- Nashville,4.5,4,652
Adele's - Nashville,4.0,2,1180
Acme Feed & Seed,3.9,2,1945
Hawkers Asian Street Food,4.4,2,1065
Stateside Kitchen,4.1,N/A,323
Henrietta Red,4.3,3,545
Oak Steakhouse,4.4,4,431
Blanco Cocina + Cantina,4.5,2,334
The Catbird Seat,4.6,4,472
Kayne Prime,4.2,4,1228
The Mockingbird Nashville,4.2,2,689
Deacon's New South,4.1,3,343
Barcelona Wine Bar,4.5,3,752
Butchertown Hall,3.8,2,919
The Row,3.9,2,1746
The Farm House,4.1,2,939
Germantown Cafe,4.1,2,801
The Chef and I,4.4,4,598
The Standard At The Smith House,4.3,3,368
House of Cards,3.8,4,504
Hattie B’s Hot Chicken - Nashville - Lower Broadway,4.4,2,814
Bakersfield Nashville,4.5,2,1427
DeSano Pizza Bakery,4.3,2,1159
Eddie V's Prime Seafood,4.5,3,332
Bastion,4.5,2,252
Hand Cut Chophouse,4.0,N/A,104
Butcher & Bee,4.1,2,1110
Gray & Dudley,4.1,3,221
Sambuca,3.8,2,802
The Pharmacy,4.1,2,3532
Trattoria Il Mulino,3.9,3,454
Sedona Taphouse,4.4,2,468
