Name,Category
Milo Cafe,Cafes
El Azteca Mexican Restaurant,Mexican
Portland Pizza & Pub,Pizza
Senor Fajitas,Mexican
Tacos Mi Jalisco,Mexican
5 Chefs,New American
The Barbecue Pit,Barbeque
My Time Cafe,Cafes
Bento Japanese Express,Sushi Bars
Mr Wok,Chinese
Colorado Grill,Steakhouses
Milli’s Taqueria,Mexican
International Tea and Coffee,Coffee & Tea
Cousins Maine Lobster - Nashville,Food Trucks
Pizza Hut,Pizza
Arby's,Fast Food
Little Caesars,Pizza
Burger King,Fast Food
McDonald's,Fast Food
Sonic Drive-In,Burgers
Neon Kitchen,Italian
Delaney's Street Eats,Food Trucks
Sol Azteca Franklin,Mexican
Brewster's Bar & Grille,New American
Johnson's Crossroads Cafe & Market,Restaurants
Subway,Sandwiches
Subway,Sandwiches
Sol Azteca,Mexican
Franklin Steakhouse,Steakhouses
Hardee's,Fast Food
Domino's Pizza,Pizza
Waffle House - Franklin,Diners
Cracker Barrel Old Country Store,Breakfast & Brunch
Pupuseria Josellin,Mexican
Dairy Queen Grill & Chill,Fast Food
Vansauwa's Tacos,Food Trucks
Denny's,Diners
Papa Johns Pizza,Pizza
Burger King,Burgers
McDonald's,Fast Food
Jims Barbeque,Barbeque
Quiznos,Sandwiches
Cantrell’s Grill,Food Trucks
